document_modified,term_localName,term_isDefinedBy,term_created,term_modified,term_deprecated,replaces_term,replaces1_term,replaces2_term,label,definition,usage,notes,type,controlled_value_string,tdwgutility_organizedInClass,SKOS_inSchema,tdwgutility_repeatable,examples,database,vann_preferredNamespacePrefix,vann_preferredNamespaceUri
2021-04-15T20:25:08-06:00,legislation,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Legislation,A national proposed law or group of laws. A regional proposed law or group of laws.,,,http://www.w3.org/2000/01/rdf-schema#Class,,DemographyAndThreat,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,territory,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,territory,"Information, mostly associated to vertebrates, referring to the territorial extension of the individual or group in terms of its activities (feeding, mating, etc.).",,,http://www.w3.org/2000/01/rdf-schema#Class,,DemographyAndThreat,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,threatStatus,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,threat status,Information about the conservation status of the taxon.,,,http://www.w3.org/2000/01/rdf-schema#Class,,DemographyAndThreat,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,PopulationBiology,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,population biology,"Description of the variations in time and space, as well as in the size and density of populations, and the factors that cause such variations",,,http://www.w3.org/2000/01/rdf-schema#Class,,DemographyAndThreat,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,DispersalAtomized,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Atomized Dispersal,Dispersal element in structured format,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,legislationAtomized,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Atomized Legislation,legislation element in structured format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,legislationUnstructured,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Unstructured Legislation,legislation element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,LegislationType,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Legislation Type,National and/or regional law or group of laws.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,LegislationName,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Legislation Name,Word or phrase to designate the law or group of laws.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,ProtectionLegalStatus,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Protection Legal Status,Description of the legal status.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,LegislationRead,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Legislation Read,The oficial document in which the user can read the legislation.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,Status,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Status,"Whether a piece of legislation is in force, or superseded, etc.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,Type,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Type,Category of the piece of legislation.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,Norm,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Norm,"Norms are general legal principles that are widely accepted. This acceptance is evidenced in a number of ways, such as international agreements, national legislation, domestic and international judicial decisions, and scholarly writings.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,AppliesTo,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Applies to,Location where the status is used.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,DispersalUnstructured,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Unstructured Dispersal,Dispersal element in text block format,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Dispersal,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,Purpose,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Purpose,Makes reference to any data being measured,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Dispersal,,,De tipo MeasurementOrFactClass,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,Type,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Type,"VCR. Zoochory, Anemochory, Hydrochory, Barochory, Autochory",,"Type of dispersal, a controlled vocabulary is recommended.","http://www.w3.org/2004/02/skos/core#ConceptScheme
",,Dispersal,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,StructureDispersed,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Structure Dispersed ,"VCR: Seed, Fruit, Vegetative structure, Spores, Gametes, Eggs, Offspring and Individuals",,"Structured that is dispersed for a given biologial propuse, a controlled vocabulary is recommended.","http://www.w3.org/2004/02/skos/core#ConceptScheme
",,Dispersal,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,Distance,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Distance,Dispersal distance. e.g. 450 m,,The distance reached by the structured dispersed.,"http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
",,Dispersal,,,"de tipo MeasurementOrFactClass
",plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,Type,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Type,Primary diet source. A controlled vocabulary is recommended.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Dispersal,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,ecologicalSignificanceAtomized,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Atomized Ecological Significance,Ecological Significance element in structured format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,EcologicalSignificance,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,ecologicalSignificanceUnstructured,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Unstructured Ecological Significance,Ecological Significance element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,EcologicalSignificance,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,environmentalEnvelopeAtomized,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Atomized Environmental Envelope,Environmental envelope of a species expressed as an enumeration of measures and parameters.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,EnvironmentalEnvelope,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,environmentalEnvelopeUnstructured,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Unstructured Environmental Envelope,environmentalEnvelopeas a a text block,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,EnvironmentalEnvelope,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,feedingAtomized,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Atomized Feeding,feeding elemento in structured format,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Feeding,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,feedingUnstructured,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Unstructured Feeding,feeding element in text block format,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Feeding,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,DistributionUnstructured,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Unstructured Distribution,Distribution element in text block format,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,HabitatAndDistribution,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,DistributionAtomized,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Atomized Distribution,Distribution element in structured format,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,HabitatAndDistribution,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,DistributionScope,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Distribution Scope,List of regions structured and categorized.,"
","A controlled vocabulary is recommended.
e.g. Historical, Current, Restricted and Wide.
","http://www.w3.org/2000/01/rdf-schema#Class


",,HabitatAndDistribution,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,DistributionScopeType,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Distribution Scope Type,"A controlled vocabulary is recommended. VCR: Historical, Current, Restricted and Wide.
",,"XXXXX, a controlled vocabulary is recommended.","http://www.w3.org/2000/01/rdf-schema#Class

",,HabitatAndDistribution,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,temporalCoverage,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Temporal Coverage,"This field specifies temporal coverage of the distribution, and allows coverages to be a single point in time, multiple points in time, or a range of dates.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,HabitatAndDistribution,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,"geographicEntity
",http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Geographic Entity,"
Name of the geographic entity. A controlled vocabulary --as specified in the Catalogue element-- is recommended.
",,"
e.g. Spain; Aguascalientas; Alabama; Ambon
",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,HabitatAndDistribution,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,DistributionType,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Distribution Type,"Information about the distribution of the species based on the studied specimens collection sites data.

",,,"http://www.w3.org/2000/01/rdf-schema#Class
",,HabitatAndDistribution,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,GeographicEntity,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Geographic Entity,Name of the geographic entity. ,,"A controlled vocabulary --as specified in the Catalogue element-- is recommended.
e.g. Spain; Aguascalientas; Alabama; Ambon","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
",,HabitatAndDistribution,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,country,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Country,"The name of the country or major administrative unit in which the Location occurs.
",,"It is recommended to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.
","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property

",,HabitatAndDistribution,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,stateProvince,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,State Province ,"The name of the next smaller administrative region than country (state, 
province, canton, department, region, etc.) in which the Location 
occurs.",,,"http://www.w3.org/1999/02/22-rdf-syntax-ns#Property

",,HabitatAndDistribution,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,county,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,County,"The full, unabbreviated name of the next smaller administrative region 
than stateProvince (county, shire, department, etc.) in which the 
Location occurs.",,,"http://www.w3.org/1999/02/22-rdf-syntax-ns#Property

",,HabitatAndDistribution,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,municipality,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Municipality ,"The full, unabbreviated name of the next smaller administrative region than county (city, municipality, etc.) in which the Location occurs. Do not use this term for a nearby named place that does not contain the actual location.
",,,"http://www.w3.org/1999/02/22-rdf-syntax-ns#Property

",,HabitatAndDistribution,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,locality,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Locality,"The specific description of the place. Less specific geographic information can be provided in other geographic terms (higherGeography, continent, country, stateProvince, county, municipality, waterBody, island, islandGroup). This term may contain information modified from the original to correct perceived errors or standardize the description.
",,,"http://www.w3.org/1999/02/22-rdf-syntax-ns#Property

",,HabitatAndDistribution,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,endemicAtomized,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Atomized Endemic,List of areas structured and categorized by territories in which the endemic species appears (EndemicTo) in relation to a wider area (EndemicIn) given as geographical context.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,HabitatAndDistribution,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,EndemicTo,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Endemic To,A territory in which an endemic species appear. A controlled vocabulary is recommended. The term may go from local to above-country levels.,,"Examples: Giant panda (Ailuropoda melanoleuca (David, 1869) endemic to China. Quetzal Resplendent (Pharomachrus mocinno de la Llave, 1832) endemic to Mexico, Guatemala, Honduras, El Salvador, Nicaragua, Costa Rica and Panama.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,HabitatAndDistribution,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,EndemicIn,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Endemic In,The area that works as a context for specifying endemic areas of a species. A controlled vocabulary is recommended. The term may go from local to above-country levels.,,"If not specified, the Earth as a whole is assumed as the geographical context. Examples:  Vicuña (Vicugna vicugna Molina, 1782) endemic to the Andean region **in South America**. Manzanilla Real (Artemisia granatensis Boiss.) endemic in the peaks of Sierra Nevada (**in Spain**).",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,HabitatAndDistribution,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,endemicUnstructured,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Unstructured Endemic,Information on the endemicity of a species as a text block.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,HabitatAndDistribution,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,habitatAtomized,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Atomized Habitat,habitatAndDistribution element in structured format,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,HabitatAndDistribution,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,habitatAndDistributionUnstructured,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Unstructured Habitat And Distribution,habitatAndDistribution element in text block format,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,HabitatAndDistribution,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,endemic,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Endemic,Ecological importance of the taxon. (Placeholder),,,http://www.w3.org/2000/01/rdf-schema#Class,,HabitatAndDistribution,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,habitats,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Habitats,"General description of the sites where the species is found (ecosystem, environment or microhabitat).",,,http://www.w3.org/2000/01/rdf-schema#Class,,HabitatAndDistribution,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,Distribution,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Distribution,"Species geographical distribution.

",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,HabitatAndDistribution,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,habitatUnstructured,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Unstructured Habitat,habitat element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,HabitatAndDistribution,,,,plic,plic,http://rs.tdwg.org/plic/terms/
2021-04-15T20:25:08-06:00,interactionAtomized,http://rs.tdwg.org/plic/terms/,2021-04-15,2021-04-15,,,,,Atomized Interaction,interaction element in structured format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Interactions,,,,plic,plic,http://rs.tdwg.org/plic/terms/
