term_localName,label,definition,usage,notes,type,controlled_value_string,tdwgutility_organizedInClass,equivalentXPath,SKOS_inSchema,tdwgutility_repeatable,examples,database,vann_preferredNamespacePrefix,vann_preferredNamespaceUri
environmentalEnvelopeAtomized,Atomized Environmental Envelope,Environmental envelope of a species expressed as an enumeration of measures and parameters.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,EnvironmentalEnvelope,/Dataset/TaxonRecord/NaturalHistory/EnvironmentalEnvelope/EnvironmentalEnvelopeAtomized,,,,plic,plic,http://rs.tdwg.org/plic/terms/
environmentalEnvelopeUnstructured,Unstructured Environmental Envelope,environmentalEnvelope as a text block.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,EnvironmentalEnvelope,/Dataset/TaxonRecord/NaturalHistory/EnvironmentalEnvelope/EnvironmentalEnvelopeUnstructured,,,,plic,plic,http://rs.tdwg.org/plic/terms/
feedingUnstructured,Unstructured Feeding,feeding element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Feeding,/Dataset/TaxonRecord/NaturalHistory/Feeding/FeedingUnstructured,,,,plic,plic,http://rs.tdwg.org/plic/terms/
DistributionUnstructured,Unstructured Distribution,Distribution element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,HabitatAndDistribution,/Dataset/TaxonRecord/DemographyAndThreat/Legislation/LegislationAtomized/AppliesTo/DistributionUnstructured|/Dataset/TaxonRecord/DemographyAndThreat/ThreatStatus/ThreatStatusAtomized/AppliesTo/DistributionUnstructured|/Dataset/TaxonRecord/HabitatAndDistribution/Distribution/DistributionUnstructured|/Dataset/TaxonRecord/NomenclatureAndClassification/CommonNames/CommonNamesAtomized/UsedIn/DistributionUnstructured,,,,plic,plic,http://rs.tdwg.org/plic/terms/
DistributionScope,Distribution Scope,List of regions structured and categorized.,,"A controlled vocabulary is recommended. e.g. Historical, Current, Restricted and Wide. ",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,HabitatAndDistribution,/Dataset/TaxonRecord/DemographyAndThreat/Legislation/LegislationAtomized/AppliesTo/DistributionScope|/Dataset/TaxonRecord/DemographyAndThreat/ThreatStatus/ThreatStatusAtomized/AppliesTo/DistributionScope|/Dataset/TaxonRecord/HabitatAndDistribution/Distribution/DistributionScope|/Dataset/TaxonRecord/NomenclatureAndClassification/CommonNames/CommonNamesAtomized/UsedIn/DistributionScope,,,,plic,plic,http://rs.tdwg.org/plic/terms/
GeographicEntity,Geographic Entity,Name of the geographic entity. ,,A controlled vocabulary --as specified in the Catalogue element-- is recommended. e.g. Spain; Aguascalientas; Alabama; Ambon,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property ,,HabitatAndDistribution,/Dataset/TaxonRecord/DemographyAndThreat/Legislation/LegislationAtomized/AppliesTo/Distribution/DistributionAtomized/GeographicEntity|/Dataset/TaxonRecord/DemographyAndThreat/ThreatStatus/ThreatStatusAtomized/AppliesTo/Distribution/DistributionAtomized/GeographicEntity|/Dataset/TaxonRecord/NomenclatureAndClassification/CommonNames/CommonNamesAtomized/UsedIn/DistributionAtomized/GeographicEntity|/Dataset/TaxonRecord/HabitatAndDistribution/Distribution/DistributionAtomized/GeographicEntity,,,,plic,plic,http://rs.tdwg.org/plic/terms/
EndemicTo,Endemic To,A territory in which an endemic species appear. A controlled vocabulary is recommended. The term may go from local to above-country levels.,,"Examples: Giant panda (Ailuropoda melanoleuca (David, 1869) endemic to China. Quetzal Resplendent (Pharomachrus mocinno de la Llave, 1832) endemic to Mexico, Guatemala, Honduras, El Salvador, Nicaragua, Costa Rica and Panama.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,HabitatAndDistribution,/Dataset/TaxonRecord/HabitatAndDistribution/Endemic/EndemicAtomized/EndemicTo,,,,plic,plic,http://rs.tdwg.org/plic/terms/
EndemicIn,Endemic In,The area that works as a context for specifying endemic areas of a species. A controlled vocabulary is recommended. The term may go from local to above-country levels.,,"If not specified, the Earth as a whole is assumed as the geographical context. Examples: Vicuña (Vicugna vicugna Molina, 1782) endemic to the Andean region **in South America**. Manzanilla Real (Artemisia granatensis Boiss.) endemic in the peaks of Sierra Nevada (**in Spain**).",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,HabitatAndDistribution,/Dataset/TaxonRecord/HabitatAndDistribution/Endemic/EndemicAtomized/EndemicIn,,,,plic,plic,http://rs.tdwg.org/plic/terms/
endemicUnstructured,Unstructured Endemic,Information on the endemicity of a species as a text block.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,HabitatAndDistribution,/Dataset/TaxonRecord/HabitatAndDistribution/Endemic/EndemicUnstructured,,,,plic,plic,http://rs.tdwg.org/plic/terms/
habitatAtomized,Atomized Habitat,habitatAndDistribution element in structured format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,HabitatAndDistribution,/Dataset/TaxonRecord/HabitatAndDistribution/Habitats/HabitatAtomized,,,,plic,plic,http://rs.tdwg.org/plic/terms/
habitatAndDistributionUnstructured,Unstructured Habitat And Distribution,habitatAndDistribution element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,HabitatAndDistribution,/Dataset/TaxonRecord/HabitatAndDistribution/HabitatAndDistributionUnstructured,,,,plic,plic,http://rs.tdwg.org/plic/terms/
habitatUnstructured,Unstructured Habitat,habitat element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,HabitatAndDistribution,/Dataset/TaxonRecord/HabitatAndDistribution/Habitats/HabitatUnstructured,,,,plic,plic,http://rs.tdwg.org/plic/terms/
SpeciesInteractionType,Species Interaction Type,String with the type of interaction. Each element is separated by comma and each list of elements by.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Interactions,/Dataset/TaxonRecord/NaturalHistory/Interactions/InteractionAtomized/SpeciesInteractionType,,,,plic,plic,http://rs.tdwg.org/plic/terms/
invasivenessUnstructured,Unstructured Invasiveness,invasiveness element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Invasiveness,/Dataset/TaxonRecord/Invasiveness/InvasivenessUnstructured,,,,plic,plic,http://rs.tdwg.org/plic/terms/
WhatImpact,What Impact,"An indication of the actual impact as a free text string. e.g. destroys riparian vegetation, destroys irrigation systems, displaces Arvicola sapidus.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Invasiveness,/Dataset/TaxonRecord/Invasiveness/InvasivenessAtomized/WhatImpact,,,,plic,plic,http://rs.tdwg.org/plic/terms/
vector,Vector,"By which means a species occupies a new territory. e.g. fishing boats; dirty boots, cars (Aedes albopictus).",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Invasiveness,/Dataset/TaxonRecord/Invasiveness/InvasivenessAtomized/vector,,,,plic,plic,http://rs.tdwg.org/plic/terms/
Route,Route,This is equivalent and probably replaceable by gisin:route.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Invasiveness,/Dataset/TaxonRecord/Invasiveness/InvasivenessAtomized/Route,,,,plic,plic,http://rs.tdwg.org/plic/terms/
impactTarget,Impact Target,This is equivalent and probably replaceable by gisin:impactTarget.,,,http://www.w3.org/2004/02/skos/core#ConceptScheme,,Invasiveness,/Dataset/TaxonRecord/Invasiveness/InvasivenessAtomized/impactTarget,,,,plic,plic,http://rs.tdwg.org/plic/terms/
impactMechanism,Impact Mechanism,Mechanism of introduction or impact to a new location.,,,http://www.w3.org/2004/02/skos/core#ConceptScheme,,Invasiveness,/Dataset/TaxonRecord/Invasiveness/InvasivenessAtomized/impactMechanism,,,,plic,plic,http://rs.tdwg.org/plic/terms/
Dataset_ID,Dataset ID,An identifier for the dataset.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DatasetMetadata,/Dataset/Metadata/Dataset_ID,,,,plic,plic,http://rs.tdwg.org/plic/terms/
detailAtomized,Atomized Detail,MiscDetail element in structured format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,NomenclatureAndClassification,/Dataset/TaxonRecord/NaturalHistory/MiscDetails/DetailAtomized|/Dataset/TaxonRecord/NomenclatureAndClassification/MiscDetails/DetailAtomized,,,,plic,plic,http://rs.tdwg.org/plic/terms/
BirthRate,Birth rate,Ratio of births to the total number of individuals in a population in a time period.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/PopulationBiology/PopulationBiologyAtomized/BirthRate,,,,plic,plic,http://rs.tdwg.org/plic/terms/
