term_localName,label,definition,usage,notes,type,tdwgutility_organizedInClass,examples,database,vann_preferredNamespacePrefix,vann_preferredNamespaceUri
EndemicIn,,The concept is applied to an area either multinational or local.,,"Examples:  Vicuña (Vicugna vicugna Molina, 1782) endemic in the Andean region. Manzanilla Real (Artemisia granatensis Boiss.) endemic in the peaks of Sierra Nevada (Spain).",,EndemicAtomized,,,,
endemicUnstructured,unstructured endemic,Endemic element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,EndemicType,,,,
environmentalEnvelope,environmental envelope,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,,
environmentalEnvelopeAtomized,atomized environmental envelope,"Structured information category concerning measurements, facts, characteristics, or assertions about a resource (instances or records, such as Occurrence, Taxon, Location, Event). environmentalEnvelope in structured format",,Example: Environmental range in which the organism lives (e.g. annual precipitation/average/450/mm),http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,EnvironmentalEnvelopeType,,,,
environmentalEnvelopeUnstructured,unstructured environmental envelope,environmentalEnvelope in text block format,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,EnvironmentalEnvelopeType,,,,
feeding,feeding,Information related to the food supply for the development and sustenance of the individual and/or its offspring.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,,
feedingAtomized,atomized feeding,feeding elemento in structured format,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,,
feedingUnstructured,unstructured feeding,feeding element in text block format,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,,
Type,,Primary diet source. A controlled vocabulary is recommended.,,,,,,,,
Strategy,TrophicStrategy,"Tactic used to obtain energy or nutrients. A controlled vocabulary is 
recommended. e.g. Chemosynthetic organisms,Photosynthetic 
organisms,Parasites,Decomposers,Suspension feeders,Substrate feeders, 
Grazers,Fluid-feeders,Predators...",,,http://www.w3.org/2004/02/skos/core#ConceptScheme,Trophic,,,,
Strategy01,Chemosynthetic,,,,http://www.w3.org/2004/02/skos/core#Concept,,,,,
Strategy02,Photosynthetic,,,,http://www.w3.org/2004/02/skos/core#Concept,,,,,
Strategy03,Vermin,,,,http://www.w3.org/2004/02/skos/core#Concept,,,,,
Strategy04,Decomposers,,,,http://www.w3.org/2004/02/skos/core#Concept,,,,,
Strategy05,FilterFeeders,,,,http://www.w3.org/2004/02/skos/core#Concept,,,,,
Strategy06,Sedimentivorous,,,,http://www.w3.org/2004/02/skos/core#Concept,,,,,
Strategy07,Borers,,,,http://www.w3.org/2004/02/skos/core#Concept,,,,,
Strategy08,Foragers,,,,http://www.w3.org/2004/02/skos/core#Concept,,,,,
Strategy09,Fluidophagous,,,,http://www.w3.org/2004/02/skos/core#Concept,,,,,
StrategyRemarks,TrophicStrategyRemarks,Information notes about specific feeding strategies.,,,http://www.w3.org/2004/02/skos/core#ConceptScheme,Trophic,,,,
StrategyRemarks01,Autotrophs,,,,http://www.w3.org/2004/02/skos/core#Concept,,,,,
StrategyRemarks02,Palynivore,,,,http://www.w3.org/2004/02/skos/core#Concept,,,,,
StrategyRemarks03,Nectarivore,,,,http://www.w3.org/2004/02/skos/core#Concept,,,,,
StrategyRemarks04,Granivore,,,,http://www.w3.org/2004/02/skos/core#Concept,,,,,
StrategyRemarks05,Frugivore,,,,http://www.w3.org/2004/02/skos/core#Concept,,,,,
StrategyRemarks06,Rhizophagus,,,,http://www.w3.org/2004/02/skos/core#Concept,,,,,
StrategyRemarks07,Hematophagy,,,,http://www.w3.org/2004/02/skos/core#Concept,,,,,
StrategyRemarks08,Insectivore,,,,http://www.w3.org/2004/02/skos/core#Concept,,,,,
StrategyRemarks09,Piscivore,,,,http://www.w3.org/2004/02/skos/core#Concept,,,,,
StrategyRemarks10,Oophagy,,,,http://www.w3.org/2004/02/skos/core#Concept,,,,,
StrategyRemarks11,Omnivore,,,,http://www.w3.org/2004/02/skos/core#Concept,,,,,
StrategyRemarks12,Scavenger,,,,http://www.w3.org/2004/02/skos/core#Concept,,,,,
StrategyRemarks13,Saprophagous,,,,http://www.w3.org/2004/02/skos/core#Concept,,,,,
StrategyRemarks14,Detritivore,,,,http://www.w3.org/2004/02/skos/core#Concept,,,,,
fullDescription,full description,"Complete and detailed account of the taxonomic and systematic characters, i.e. those that define and allow to recognize an organism.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,TaxonomicDescription,,,,
fullDescriptionAtomized,atomized full description,fullDescription element in structured format,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,,,,
