replacing_version,replaced_version_localName
http://rs.tdwg.org/plic/terms/version/county-2022-06-14,county-2022-02-23
http://rs.tdwg.org/plic/terms/version/localityName-2022-06-14,localityName-2022-02-23
http://rs.tdwg.org/plic/terms/version/abundance-2022-06-14,abundance-2022-02-23
http://rs.tdwg.org/plic/terms/version/trend-2022-06-14,trend-2022-02-23
http://rs.tdwg.org/plic/terms/version/rateOfSpread-2022-06-14,rateOfSpread-2022-02-23
http://rs.tdwg.org/plic/terms/version/regulatoryListing-2022-06-14,regulatoryListing-2022-02-23
http://rs.tdwg.org/plic/terms/version/localityType-2022-06-14,localityType-2022-02-23
http://rs.tdwg.org/plic/terms/version/WhatImpact-2022-06-14,WhatImpact-2022-02-23
http://rs.tdwg.org/plic/terms/version/vector-2022-06-14,vector-2022-02-23
http://rs.tdwg.org/plic/terms/version/Route-2022-06-14,Route-2022-02-23
http://rs.tdwg.org/plic/terms/version/impactTarget-2022-06-14,impactTarget-2022-02-23
http://rs.tdwg.org/plic/terms/version/impactMechanism-2022-06-14,impactMechanism-2022-02-23
http://rs.tdwg.org/plic/terms/version/lifeCycleAtomized-2022-06-14,lifeCycleAtomized-2022-02-23
http://rs.tdwg.org/plic/terms/version/lifeCycleUnstructured-2022-06-14,lifeCycleUnstructured-2022-02-23
http://rs.tdwg.org/plic/terms/version/lifeFormAtomized-2022-06-14,lifeFormAtomized-2022-02-23
http://rs.tdwg.org/plic/terms/version/lifeFormUnstructured-2022-06-14,lifeFormUnstructured-2022-02-23
"http://rs.tdwg.org/plic/terms/version/ancillaryData
-2022-06-14","ancillaryData
-2022-02-23"
http://rs.tdwg.org/plic/terms/version/Metadata-2022-06-14,Metadata-2022-02-23
http://rs.tdwg.org/plic/terms/version/TaxonRecord-2022-06-14,TaxonRecord-2022-02-23
http://rs.tdwg.org/plic/terms/version/Dataset_ID-2022-06-14,Dataset_ID-2022-02-23
http://rs.tdwg.org/plic/terms/version/dateStamp-2022-06-14,dateStamp-2022-02-23
http://rs.tdwg.org/plic/terms/version/Dataset-2022-06-14,Dataset-2022-02-23
http://rs.tdwg.org/plic/terms/version/resourceLogoUrl-2022-06-14,resourceLogoUrl-2022-02-23
http://rs.tdwg.org/plic/terms/version/MigratoryAtomized-2022-06-14,MigratoryAtomized-2022-02-23
http://rs.tdwg.org/plic/terms/version/migratoryUnstructured-2022-06-14,migratoryUnstructured-2022-02-23
http://rs.tdwg.org/plic/terms/version/Causes-2022-06-14,Causes-2022-02-23
http://rs.tdwg.org/plic/terms/version/Patterns-2022-06-14,Patterns-2022-02-23
http://rs.tdwg.org/plic/terms/version/Routes-2022-06-14,Routes-2022-02-23
http://rs.tdwg.org/plic/terms/version/Season-2022-06-14,Season-2022-02-23
http://rs.tdwg.org/plic/terms/version/MolecularDataAtomized-2022-06-14,MolecularDataAtomized-2022-02-23
http://rs.tdwg.org/plic/terms/version/MolecularDataUnstructured-2022-06-14,MolecularDataUnstructured-2022-02-23
http://rs.tdwg.org/plic/terms/version/RelatedTo-2022-06-14,RelatedTo-2022-02-23
http://rs.tdwg.org/plic/terms/version/AnnualCycles-2022-06-14,AnnualCycles-2022-02-23
http://rs.tdwg.org/plic/terms/version/Behavior-2022-06-14,Behavior-2022-02-23
http://rs.tdwg.org/plic/terms/version/behaviorAtomized-2022-06-14,behaviorAtomized-2022-02-23
http://rs.tdwg.org/plic/terms/version/behaviorUnstructured-2022-06-14,behaviorUnstructured-2022-02-23
http://rs.tdwg.org/plic/terms/version/Dispersal-2022-06-14,Dispersal-2022-02-23
http://rs.tdwg.org/plic/terms/version/Interactions-2022-06-14,Interactions-2022-02-23
http://rs.tdwg.org/plic/terms/version/LifeCycle-2022-06-14,LifeCycle-2022-02-23
http://rs.tdwg.org/plic/terms/version/LifeForm-2022-06-14,LifeForm-2022-02-23
http://rs.tdwg.org/plic/terms/version/Migratory-2022-06-14,Migratory-2022-02-23
http://rs.tdwg.org/plic/terms/version/miscDetails-2022-06-14,miscDetails-2022-02-23
http://rs.tdwg.org/plic/terms/version/MolecularData-2022-06-14,MolecularData-2022-02-23
http://rs.tdwg.org/plic/terms/version/NaturalHistoryUnstructured-2022-06-14,NaturalHistoryUnstructured-2022-02-23
http://rs.tdwg.org/plic/terms/version/NomenclatureAndClassificationUnstructured-2022-06-14,NomenclatureAndClassificationUnstructured-2022-02-23
http://rs.tdwg.org/plic/terms/version/Reproduction-2022-06-14,Reproduction-2022-02-23
http://rs.tdwg.org/plic/terms/version/EcologicalSignificance-2022-06-14,EcologicalSignificance-2022-02-23
http://rs.tdwg.org/plic/terms/version/EnvironmentalEnvelope-2022-06-14,EnvironmentalEnvelope-2022-02-23
http://rs.tdwg.org/plic/terms/version/Feeding-2022-06-14,Feeding-2022-02-23
http://rs.tdwg.org/plic/terms/version/Hierarchy-2022-06-14,Hierarchy-2022-02-23
http://rs.tdwg.org/plic/terms/version/detailUnstructured-2022-06-14,detailUnstructured-2022-02-23
http://rs.tdwg.org/plic/terms/version/detailAtomized-2022-06-14,detailAtomized-2022-02-23
http://rs.tdwg.org/plic/terms/version/Synonyms-2022-06-14,Synonyms-2022-02-23
http://rs.tdwg.org/plic/terms/version/PopulationBiologyAtomized-2022-06-14,PopulationBiologyAtomized-2022-02-23
http://rs.tdwg.org/plic/terms/version/populationBiologyUnstructured-2022-06-14,populationBiologyUnstructured-2022-02-23
http://rs.tdwg.org/plic/terms/version/BirthRate-2022-06-14,BirthRate-2022-02-23
http://rs.tdwg.org/plic/terms/version/NumberIndividualsPerObservation-2022-06-14,NumberIndividualsPerObservation-2022-02-23
http://rs.tdwg.org/plic/terms/version/AverageDensity-2022-06-14,AverageDensity-2022-02-23
http://rs.tdwg.org/plic/terms/version/PopulationTrend-2022-06-14,PopulationTrend-2022-02-23
http://rs.tdwg.org/plic/terms/version/Recruitment-2022-06-14,Recruitment-2022-02-23
http://rs.tdwg.org/plic/terms/version/PopulationGrowthRate-2022-06-14,PopulationGrowthRate-2022-02-23
http://rs.tdwg.org/plic/terms/version/Emigration-2022-06-14,Emigration-2022-02-23
http://rs.tdwg.org/plic/terms/version/Immigration-2022-06-14,Immigration-2022-02-23
http://rs.tdwg.org/plic/terms/version/DescriptionLifeStages-2022-06-14,DescriptionLifeStages-2022-02-23
http://rs.tdwg.org/plic/terms/version/ProportionIndividualsPerStageLife-2022-06-14,ProportionIndividualsPerStageLife-2022-02-23
http://rs.tdwg.org/plic/terms/version/CarryingCapacity-2022-06-14,CarryingCapacity-2022-02-23
http://rs.tdwg.org/plic/terms/version/AbundanceData-2022-06-14,AbundanceData-2022-02-23
http://rs.tdwg.org/plic/terms/version/DensityData-2022-06-14,DensityData-2022-02-23
http://rs.tdwg.org/plic/terms/version/PatternDistribution-2022-06-14,PatternDistribution-2022-02-23
http://rs.tdwg.org/plic/terms/version/Size-2022-06-14,Size-2022-02-23
http://rs.tdwg.org/plic/terms/version/SexRatio-2022-06-14,SexRatio-2022-02-23
http://rs.tdwg.org/plic/terms/version/Fecundity-2022-06-14,Fecundity-2022-02-23
http://rs.tdwg.org/plic/terms/version/MortalityRate-2022-06-14,MortalityRate-2022-02-23
http://rs.tdwg.org/plic/terms/version/audiencesUnstructured-2022-06-14,audiencesUnstructured-2022-02-23
http://rs.tdwg.org/plic/terms/version/language-2022-06-14,language-2022-02-23
http://rs.tdwg.org/plic/terms/version/language-2022-06-14,language-2022-02-23
