document_modified,version,versionLocalName,version_isDefinedBy,version_issued,version_status,replaces_version,replaces1_version,replaces2_version,label,definition,usage,notes,type,controlled value string,tdwgutility_organizedInClass,SKOS_inSchema,tdwgutility_repeatable,examples,database,vann_preferredNamespacePrefix,vann_preferredNamespaceUri,term_localName
2021-02-23T21:15:57-06:00,http://rs.tdwg.org/plic/terms/version/Purpose-2021-02-23,Purpose-2021-02-23,http://rs.tdwg.org/plic/terms/version/,2021-02-23,recommended,,,,Purpose,Makes reference to any data being measured,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DispersalAtomized,,,De tipo MeasurementOrFactClass,plic,plic,http://rs.tdwg.org/plic/terms/,Purpose
2021-02-23T21:15:57-06:00,http://rs.tdwg.org/plic/terms/version/Type-2021-02-23,Type-2021-02-23,http://rs.tdwg.org/plic/terms/version/,2021-02-23,recommended,,,,Type,"VCR. Zoochory, Anemochory, Hydrochory, Barochory, Autochory",,"Type of dispersal, a controlled vocabulary is recommended.","http://www.w3.org/2004/02/skos/core#ConceptScheme
",,DispersalAtomized,,,,plic,plic,http://rs.tdwg.org/plic/terms/,Type
2021-02-23T21:15:57-06:00,http://rs.tdwg.org/plic/terms/version/Type01-2021-02-23,Type01-2021-02-23,http://rs.tdwg.org/plic/terms/version/,2021-02-23,recommended,,,,Zoochory,Zoochory,,,http://www.w3.org/2004/02/skos/core#Concept,Zoochory,,Type,,,plic,plic,http://rs.tdwg.org/plic/terms/,Type01
2021-02-23T21:15:57-06:00,http://rs.tdwg.org/plic/terms/version/Type02-2021-02-23,Type02-2021-02-23,http://rs.tdwg.org/plic/terms/version/,2021-02-23,recommended,,,,Anemochory,Anemochory,,,http://www.w3.org/2004/02/skos/core#Concept,Anemochory,,Type,,,plic,plic,http://rs.tdwg.org/plic/terms/,Type02
2021-02-23T21:15:57-06:00,http://rs.tdwg.org/plic/terms/version/Type03-2021-02-23,Type03-2021-02-23,http://rs.tdwg.org/plic/terms/version/,2021-02-23,recommended,,,,Hydrochory,Hydrochory,,,http://www.w3.org/2004/02/skos/core#Concept,Hydrochory,,Type,,,plic,plic,http://rs.tdwg.org/plic/terms/,Type03
2021-02-23T21:15:57-06:00,http://rs.tdwg.org/plic/terms/version/Type04-2021-02-23,Type04-2021-02-23,http://rs.tdwg.org/plic/terms/version/,2021-02-23,recommended,,,,Barochory,Barochory,,,http://www.w3.org/2004/02/skos/core#Concept,Barochory,,Type,,,plic,plic,http://rs.tdwg.org/plic/terms/,Type04
2021-02-23T21:15:57-06:00,http://rs.tdwg.org/plic/terms/version/Type05-2021-02-23,Type05-2021-02-23,http://rs.tdwg.org/plic/terms/version/,2021-02-23,recommended,,,,Autochory,Autochory,,,http://www.w3.org/2004/02/skos/core#Concept,Autochory,,Type,,,plic,plic,http://rs.tdwg.org/plic/terms/,Type05
2021-02-23T21:15:57-06:00,http://rs.tdwg.org/plic/terms/version/StructureDispersed-2021-02-23,StructureDispersed-2021-02-23,http://rs.tdwg.org/plic/terms/version/,2021-02-23,recommended,,,,Structure Dispersed ,"VCR: Seed, Fruit, Vegetative structure, Spores, Gametes, Eggs, Offspring and Individuals",,"Structured that is dispersed for a given biologial propuse, a controlled vocabulary is recommended.","http://www.w3.org/2004/02/skos/core#ConceptScheme
",,DispersalAtomized,,,,plic,plic,http://rs.tdwg.org/plic/terms/,StructureDispersed
2021-02-23T21:15:57-06:00,http://rs.tdwg.org/plic/terms/version/StructureDispersed01-2021-02-23,StructureDispersed01-2021-02-23,http://rs.tdwg.org/plic/terms/version/,2021-02-23,recommended,,,,Seed,Seed,,,http://www.w3.org/2004/02/skos/core#Concept,Seed,,StructureDispersed,,,plic,plic,http://rs.tdwg.org/plic/terms/,StructureDispersed01
2021-02-23T21:15:57-06:00,http://rs.tdwg.org/plic/terms/version/StructureDispersed02-2021-02-23,StructureDispersed02-2021-02-23,http://rs.tdwg.org/plic/terms/version/,2021-02-23,recommended,,,,Fruit,Fruit,,,http://www.w3.org/2004/02/skos/core#Concept,Fruit,,StructureDispersed,,,plic,plic,http://rs.tdwg.org/plic/terms/,StructureDispersed02
2021-02-23T21:15:57-06:00,http://rs.tdwg.org/plic/terms/version/StructureDispersed03-2021-02-23,StructureDispersed03-2021-02-23,http://rs.tdwg.org/plic/terms/version/,2021-02-23,recommended,,,,Vegetative Structure,Vegetative Structure,,,http://www.w3.org/2004/02/skos/core#Concept,Vegetative_structure,,StructureDispersed,,,plic,plic,http://rs.tdwg.org/plic/terms/,StructureDispersed03
2021-02-23T21:15:57-06:00,http://rs.tdwg.org/plic/terms/version/StructureDispersed04-2021-02-23,StructureDispersed04-2021-02-23,http://rs.tdwg.org/plic/terms/version/,2021-02-23,recommended,,,,Spores,Spores,,,http://www.w3.org/2004/02/skos/core#Concept,Spores,,StructureDispersed,,,plic,plic,http://rs.tdwg.org/plic/terms/,StructureDispersed04
2021-02-23T21:15:57-06:00,http://rs.tdwg.org/plic/terms/version/StructureDispersed05-2021-02-23,StructureDispersed05-2021-02-23,http://rs.tdwg.org/plic/terms/version/,2021-02-23,recommended,,,,Gametes,Gametes,,,http://www.w3.org/2004/02/skos/core#Concept,Gametes,,StructureDispersed,,,plic,plic,http://rs.tdwg.org/plic/terms/,StructureDispersed05
2021-02-23T21:15:57-06:00,http://rs.tdwg.org/plic/terms/version/StructureDispersed06-2021-02-23,StructureDispersed06-2021-02-23,http://rs.tdwg.org/plic/terms/version/,2021-02-23,recommended,,,,Eggs,Eggs,,,http://www.w3.org/2004/02/skos/core#Concept,Eggs,,StructureDispersed,,,plic,plic,http://rs.tdwg.org/plic/terms/,StructureDispersed06
2021-02-23T21:15:57-06:00,http://rs.tdwg.org/plic/terms/version/StructureDispersed07-2021-02-23,StructureDispersed07-2021-02-23,http://rs.tdwg.org/plic/terms/version/,2021-02-23,recommended,,,,Offspring,Offspring,,,http://www.w3.org/2004/02/skos/core#Concept,Offspring,,StructureDispersed,,,plic,plic,http://rs.tdwg.org/plic/terms/,StructureDispersed07
2021-02-23T21:15:57-06:00,http://rs.tdwg.org/plic/terms/version/StructureDispersed08-2021-02-23,StructureDispersed08-2021-02-23,http://rs.tdwg.org/plic/terms/version/,2021-02-23,recommended,,,,Individuals,Individuals,,,http://www.w3.org/2004/02/skos/core#Concept,Individuals,,StructureDispersed,,,plic,plic,http://rs.tdwg.org/plic/terms/,StructureDispersed08
2021-02-23T21:15:57-06:00,http://rs.tdwg.org/plic/terms/version/Distance-2021-02-23,Distance-2021-02-23,http://rs.tdwg.org/plic/terms/version/,2021-02-23,recommended,,,,Distance,Dispersal distance. e.g. 450 m,,The distance reached by the structured dispersed.,"http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
",,DispersalAtomized,,,"de tipo MeasurementOrFactClass
",plic,plic,http://rs.tdwg.org/plic/terms/,Distance
2021-02-23T21:15:57-06:00,http://rs.tdwg.org/plic/terms/version/Distribution-2021-02-23,Distribution-2021-02-23,http://rs.tdwg.org/plic/terms/version/,2021-02-23,recommended,,,,Distribution,"Species geographical distribution.

",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,HabitatAndDistributionType,,,,plic,plic,http://rs.tdwg.org/plic/terms/,Distribution
2021-02-23T21:15:57-06:00,http://rs.tdwg.org/plic/terms/version/DistributionUnstructured-2021-02-23,DistributionUnstructured-2021-02-23,http://rs.tdwg.org/plic/terms/version/,2021-02-23,recommended,,,,Unstructured Distribution,Distribution element in text block format,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Distribution,,,,plic,plic,http://rs.tdwg.org/plic/terms/,DistributionUnstructured
2021-02-23T21:15:57-06:00,http://rs.tdwg.org/plic/terms/version/DistributionAtomized-2021-02-23,DistributionAtomized-2021-02-23,http://rs.tdwg.org/plic/terms/version/,2021-02-23,recommended,,,,Atomized Distribution,Distribution element in structured format,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Distribution,,,,plic,plic,http://rs.tdwg.org/plic/terms/,DistributionAtomized
2021-02-23T21:15:57-06:00,http://rs.tdwg.org/plic/terms/version/DistributionType-2021-02-23,DistributionType-2021-02-23,http://rs.tdwg.org/plic/terms/version/,2021-02-23,recommended,,,,Distribution Type,"Information about the distribution of the species based on the studied specimens collection sites data.

",,,"http://www.w3.org/2000/01/rdf-schema#Class
",,DistributionAtomized,,,,plic,plic,http://rs.tdwg.org/plic/terms/,DistributionType
2021-02-23T21:15:57-06:00,http://rs.tdwg.org/plic/terms/version/DistributionScope-2021-02-23,DistributionScope-2021-02-23,http://rs.tdwg.org/plic/terms/version/,2021-02-23,recommended,,,,Distribution Scope,List of regions structured and categorized.,"
","A controlled vocabulary is recommended.
e.g. Historical, Current, Restricted and Wide.
","http://www.w3.org/2000/01/rdf-schema#Class


",,Distribution,,,,plic,plic,http://rs.tdwg.org/plic/terms/,DistributionScope
2021-02-23T21:15:57-06:00,http://rs.tdwg.org/plic/terms/version/DistributionScopeType-2021-02-23,DistributionScopeType-2021-02-23,http://rs.tdwg.org/plic/terms/version/,2021-02-23,recommended,,,,Distribution Scope Type,"A controlled vocabulary is recommended. VCR: Historical, Current, Restricted and Wide.
",,"XXXXX, a controlled vocabulary is recommended.","http://www.w3.org/2000/01/rdf-schema#Class

",,Distribution,,,,plic,plic,http://rs.tdwg.org/plic/terms/,DistributionScopeType
2021-02-23T21:15:57-06:00,http://rs.tdwg.org/plic/terms/version/temporalCoverage-2021-02-23,temporalCoverage-2021-02-23,http://rs.tdwg.org/plic/terms/version/,2021-02-23,recommended,,,,Temporal Coverage,"This field specifies temporal coverage of the distribution, and allows coverages to be a single point in time, multiple points in time, or a range of dates.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Distribution,,,,plic,plic,http://rs.tdwg.org/plic/terms/,temporalCoverage
2021-02-23T21:15:57-06:00,http://rs.tdwg.org/plic/terms/version/GeographicEntity-2021-02-23,GeographicEntity-2021-02-23,http://rs.tdwg.org/plic/terms/version/,2021-02-23,recommended,,,,Geographic Entity,Name of the geographic entity. ,,"A controlled vocabulary --as specified in the Catalogue element-- is recommended.
e.g. Spain; Aguascalientas; Alabama; Ambon","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property
",,DistributionAtomized,,,,plic,plic,http://rs.tdwg.org/plic/terms/,GeographicEntity
